Title;Comp Name;Exprience;Salary;Location;Link
Manager, Engineering (Web Scrape);MX Technologies;5-7 Yrs;Not disclosed;Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru;https://www.naukri.com/job-listings-manager-engineering-web-scrape-mx-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-7-years-090724502956
Web Scraping Engineer;Ojcommerce;2-3 Yrs;Not disclosed;Chennai;https://www.naukri.com/job-listings-web-scraping-engineer-ojcommerce-chennai-2-to-3-years-200924502963
Node.js Engineer (Web Automation and Web Scraping);Dataweave Software;2-4 Yrs;Not disclosed;Bengaluru;https://www.naukri.com/job-listings-node-js-engineer-web-automation-and-web-scraping-dataweave-software-pvt-ltd-bengaluru-2-to-4-years-231023501627
Senior Web Scraping Specialist;Aimleap;2-6 Yrs;Not disclosed;Remote;https://www.naukri.com/job-listings-senior-web-scraping-specialist-outsource-big-data-remote-2-to-6-years-200123501478
Python Developer (Web Scraping);MEG World It Services;3-7 Yrs;Not disclosed;Chennai;https://www.naukri.com/job-listings-python-developer-web-scraping-meg-world-it-services-chennai-3-to-7-years-180424500889
Web Scraping Professional;Springbord Systems;6-8 Yrs;Not disclosed;Chennai;https://www.naukri.com/job-listings-web-scraping-professional-springbord-systems-chennai-6-to-8-years-140122501011
Python Software Developer;SP Software;2-7 Yrs;7-17 Lacs PA;Gurugram, Bengaluru;https://www.naukri.com/job-listings-python-software-developer-sp-software-gurugram-bengaluru-2-to-7-years-080224004671
Engineering Manager;ZIGRAM ;7-12 Yrs;Not disclosed;Hybrid - Gurugram;https://www.naukri.com/job-listings-engineering-manager-zigram-gurugram-7-to-12-years-180724008926
UiPath RPA Developer | Sal upto 23 LPA;HCLTech;5-10 Yrs;Not disclosed;Noida, Gurugram, Delhi / NCR;https://www.naukri.com/job-listings-uipath-rpa-developer-sal-upto-23-lpa-spark-consultancy-noida-gurugram-delhi-ncr-5-to-10-years-240824007086
VBA Python Developer;Evalueserve;3-7 Yrs;7-10 Lacs PA;Hybrid - Gurugram;https://www.naukri.com/job-listings-vba-python-developer-evalueserve-gurugram-3-to-7-years-120924013656
UiPath RPA Developer | Sal upto 23 LPA;HCLTech;5-10 Yrs;Not disclosed;Noida, Gurugram, Delhi / NCR;https://www.naukri.com/job-listings-uipath-rpa-developer-sal-upto-23-lpa-spark-consultancy-noida-gurugram-delhi-ncr-5-to-10-years-240824006956
Python Developer;Bytesview Analytics;0-4 Yrs;3-8 Lacs PA;Noida, Delhi / NCR;https://www.naukri.com/job-listings-python-developer-bytesview-analytics-noida-delhi-ncr-0-to-4-years-100924012553
Tech Intern Hiring I Web Scrapping Process I Naukri.com;Info Edge;0-1 Yrs;Not disclosed;Noida(Sector-132 Noida);https://www.naukri.com/job-listings-tech-intern-hiring-i-web-scrapping-process-i-naukri-com-info-edge-noida-0-to-1-years-090924002799
UiPath Technical Team Leader | Sal upto 20 LPA | Noida;Sopra Steria;7-12 Yrs;Not disclosed;Noida, Gurugram, Delhi / NCR;https://www.naukri.com/job-listings-uipath-technical-team-leader-sal-upto-20-lpa-noida-spark-consultancy-noida-gurugram-delhi-ncr-7-to-12-years-300824008231
UiPath Technical Team Leader | Sal upto 20 LPA | Noida;Sopra Steria;7-12 Yrs;Not disclosed;Noida, Gurugram, Delhi / NCR;https://www.naukri.com/job-listings-uipath-technical-team-leader-sal-upto-20-lpa-noida-spark-consultancy-noida-gurugram-delhi-ncr-7-to-12-years-300824007697
Sr. Software Engineer;QL2 Software;5-10 Yrs;Not disclosed;Gurugram(Sector 18 Gurgaon);https://www.naukri.com/job-listings-sr-software-engineer-ql2-software-gurugram-5-to-10-years-030924015972
Python Automation Developer;Agiliad Technologies;3-8 Yrs;Not disclosed;Noida, Pune;https://www.naukri.com/job-listings-python-automation-developer-agiliad-technologies-private-limited-noida-pune-3-to-8-years-020924905940
RPA UI Path Developer;Imaginators Try Going Beyond;3-8 Yrs;7-16 Lacs PA;Noida, Bengaluru;https://www.naukri.com/job-listings-rpa-ui-path-developer-imaginators-try-going-beyond-noida-bengaluru-3-to-8-years-020924002919
Urgent Opening For WebCrawler in a Leading MNC at Chennai.;IPS group;1-5 Yrs;1-4 Lacs PA;Chennai;https://www.naukri.com/job-listings-urgent-opening-for-webcrawler-in-a-leading-mnc-at-chennai-integrated-personnel-services-chennai-1-to-5-years-160924011688
UiPath RPA Developer | Sal upto 20 LPA;HCLTech;5-10 Yrs;Not disclosed;Pune;https://www.naukri.com/job-listings-uipath-rpa-developer-sal-upto-20-lpa-spark-consultancy-pune-5-to-10-years-240824007438
